Time,PosX,PosY,PosZ,QuatW,QuatX,QuatY,QuatZ
0,0,0,0,1,0,0,0
0.01,9.985006e-09,0,0,1,0,0,0
0.02,7.9760192e-08,0,0,1,0,0,0
0.03,2.68786458e-07,0,0,1,0,0,0
0.04,6.36166144e-07,0,0,1,0,0,0
0.05,1.24064375e-06,0,0,1,0,0,0
0.06,2.140606656e-06,0,0,1,0,0,0
0.07,3.394085842e-06,0,0,1,0,0,0
0.08,5.058756608e-06,0,0,1,0,0,0
0.09,7.191939294e-06,0,0,1,0,0,0
0.1,9.8506e-06,0,0,1,0,0,0
0.11,1.3091351306e-05,0,0,1,0,0,0
0.12,1.6970452992e-05,0,0,1,0,0,0
0.13,2.1543812758e-05,0,0,1,0,0,0
0.14,2.6866986944e-05,0,0,1,0,0,0
0.15,3.299518125e-05,0,0,1,0,0,0
0.16,3.9983251456e-05,0,0,1,0,0,0
0.17,4.7885704142e-05,0,0,1,0,0,0
0.18,5.6756697408e-05,0,0,1,0,0,0
0.19,6.6650041594e-05,0,0,1,0,0,0
0.2,7.76192e-05,0,0,1,0,0,0
0.21,8.9717289606e-05,0,0,1,0,0,0
0.22,0.000102997081792,0,0,1,0,0,0
0.23,0.000117511003058,0,0,1,0,0,0
0.24,0.000133311135744,0,0,1,0,0,0
0.25,0.00015044921875,0,0,1,0,0,0
0.26,0.000168976648256,0,0,1,0,0,0
0.27,0.000188944478442,0,0,1,0,0,0
0.28,0.000210403422208,0,0,1,0,0,0
0.29,0.000233403851894,0,0,1,0,0,0
0.3,0.0002579958,0,0,1,0,0,0
0.31,0.000284228959906,0,0,1,0,0,0
0.32,0.000312152686592,0,0,1,0,0,0
0.33,0.000341815997358,0,0,1,0,0,0
0.34,0.000373267572544,0,0,1,0,0,0
0.35,0.00040655575625,0,0,1,0,0,0
0.36,0.000441728557056,0,0,1,0,0,0
0.37,0.000478833648742,0,0,1,0,0,0
0.38,0.000517918371008,0,0,1,0,0,0
0.39,0.000559029730194,0,0,1,0,0,0
0.4,0.0006022144,0,0,1,0,0,0
0.41,0.000647518722206,0,0,1,0,0,0
0.42,0.000694988707392,0,0,1,0,0,0
0.43,0.000744670035658,0,0,1,0,0,0
0.44,0.000796608057344,0,0,1,0,0,0
0.45,0.000850847793749999,0,0,1,0,0,0
0.46,0.000907433937855999,0,0,1,0,0,0
0.47,0.000966410855041999,0,0,1,0,0,0
