Time,PosX,PosY,PosZ,QuatW,QuatX,QuatY,QuatZ
0,0.2,0,0.200045399929763,1,0,0,0
0.01,0.200500250125063,0,0.200046316606012,1,0,0,0
0.02,0.201000500250125,0,0.200047250845973,1,0,0,0
0.03,0.201500750375188,0,0.20004820296617,1,0,0,0
0.04,0.20200100050025,0,0.200049173288429,1,0,0,0
0.05,0.202501250625313,0,0.200050162139953,1,0,0,0
0.06,0.203001500750375,0,0.200051169853406,1,0,0,0
0.07,0.203501750875438,0,0.200052196766993,1,0,0,0
0.08,0.2040020010005,0,0.200053243224548,1,0,0,0
0.09,0.204502251125563,0,0.200054309575619,1,0,0,0
0.1,0.205002501250625,0,0.200055396175549,1,0,0,0
0.11,0.205502751375688,0,0.200056503385571,1,0,0,0
0.12,0.20600300150075,0,0.200057631572889,1,0,0,0
0.13,0.206503251625813,0,0.200058781110775,1,0,0,0
0.14,0.207003501750875,0,0.200059952378653,1,0,0,0
0.15,0.207503751875938,0,0.200061145762197,1,0,0,0
0.16,0.208004002001,0,0.200062361653421,1,0,0,0
0.17,0.208504252126063,0,0.200063600450774,1,0,0,0
0.18,0.209004502251126,0,0.200064862559237,1,0,0,0
0.19,0.209504752376188,0,0.200066148390418,1,0,0,0
0.2,0.210005002501251,0,0.200067458362653,1,0,0,0
0.21,0.210505252626313,0,0.200068792901102,1,0,0,0
0.22,0.211005502751376,0,0.200070152437854,1,0,0,0
0.23,0.211505752876438,0,0.200071537412025,1,0,0,0
0.24,0.212006003001501,0,0.200072948269865,1,0,0,0
0.25,0.212506253126563,0,0.20007438546486,1,0,0,0
0.26,0.213006503251626,0,0.200075849457839,1,0,0,0
0.27,0.213506753376688,0,0.200077340717083,1,0,0,0
0.28,0.214007003501751,0,0.200078859718432,1,0,0,0
0.29,0.214507253626813,0,0.200080406945395,1,0,0,0
0.3,0.215007503751876,0,0.200081982889263,1,0,0,0
0.31,0.215507753876938,0,0.200083588049221,1,0,0,0
0.32,0.216008004002001,0,0.200085222932462,1,0,0,0
0.33,0.216508254127064,0,0.200086888054304,1,0,0,0
0.34,0.217008504252126,0,0.200088583938307,1,0,0,0
0.35,0.217508754377189,0,0.200090311116392,1,0,0,0
0.36,0.218009004502251,0,0.200092070128959,1,0,0,0
0.37,0.218509254627314,0,0.200093861525012,1,0,0,0
0.38,0.219009504752376,0,0.200095685862279,1,0,0,0
0.39,0.219509754877439,0,0.20009754370734,1,0,0,0
0.4,0.220010005002501,0,0.20009943563575,1,0,0,0
0.41,0.220510255127564,0,0.20010136223217,1,0,0,0
0.42,0.221010505252626,0,0.200103324090493,1,0,0,0
0.43,0.221510755377689,0,0.200105321813977,1,0,0,0
0.44,0.222011005502751,0,0.20010735601538,1,0,0,0
